Algorithm,k,n,N,avg_rho,sd_rho
FirstFit,2,50,100,1.540000,0.584652
FirstFit,2,100,100,1.525000,0.648911
FirstFit,2,200,100,1.470000,0.506623
FirstFit,2,400,100,1.545000,0.628028
FirstFit,2,800,100,1.555000,0.650932
FirstFit,2,1600,100,1.675000,0.832954
FirstFit,3,50,100,1.770000,0.569906
FirstFit,3,100,100,1.960000,0.841249
FirstFit,3,200,100,2.016667,0.845368
FirstFit,3,400,100,2.103333,0.949564
FirstFit,3,800,100,2.250000,1.085953
FirstFit,3,1600,100,2.233333,1.098412
FirstFit,4,50,100,2.065000,0.514463
FirstFit,4,100,100,2.432500,0.768587
FirstFit,4,200,100,2.825000,0.968246
FirstFit,4,400,100,3.020000,1.262653
FirstFit,4,800,100,3.167500,1.657191
FirstFit,4,1600,100,3.145000,1.350355
CBIP,2,50,100,1.350000,0.321769
CBIP,2,100,100,1.365000,0.347102
CBIP,2,200,100,1.370000,0.345388
CBIP,2,400,100,1.415000,0.341232
CBIP,2,800,100,1.380000,0.363207
CBIP,2,1600,100,1.370000,0.345388
FirstFitBinSearch,2,50,100,1.540000,0.770937
FirstFitBinSearch,2,100,100,1.275000,0.596179
FirstFitBinSearch,2,200,100,1.515000,0.805458
FirstFitBinSearch,2,400,100,1.515000,1.043147
FirstFitBinSearch,2,800,100,1.280000,0.690191
FirstFitBinSearch,2,1600,100,1.275000,0.578988
FirstFitBinSearch,3,50,100,1.916667,0.737599
FirstFitBinSearch,3,100,100,2.090000,0.892486
FirstFitBinSearch,3,200,100,2.303333,1.277532
FirstFitBinSearch,3,400,100,1.886667,1.063864
FirstFitBinSearch,3,800,100,2.016667,1.211963
FirstFitBinSearch,3,1600,100,1.696667,1.113225
FirstFitBinSearch,4,50,100,2.005000,0.538868
FirstFitBinSearch,4,100,100,2.537500,0.798811
FirstFitBinSearch,4,200,100,2.927500,1.218696
FirstFitBinSearch,4,400,100,2.980000,1.443236
FirstFitBinSearch,4,800,100,2.745000,1.661728
FirstFitBinSearch,4,1600,100,2.607500,1.487853

First Fit Algorithm
Chroma = 12, Competitive Ratio: 3.00

First Fit Algorithm (Alternative)
Chroma = 9, Competitive Ratio: 2.25

Coloring Based Interval Partition Algorithm
Chroma = 9, Competitive Ratio: 2.25
